"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2014030135","20142015","P",2015-04-24,"5","3",1,2,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020255","20142015","R",2014-11-16,"3","5",2,3,"home win SO","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021116","20142015","R",2015-03-28,"3","6",2,4,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030313","20122013","P",2013-06-06,"5","6",1,2,"home win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020418","20122013","R",2013-03-17,"6","5",1,2,"home win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020312","20142015","R",2014-11-25,"5","6",3,2,"away win OT","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012030223","20122013","P",2013-05-21,"6","3",2,1,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020179","20122013","R",2013-02-13,"3","6",4,3,"away win SO","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014030133","20142015","P",2015-04-20,"3","5",2,1,"away win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2012020015","20122013","R",2013-01-21,"5","3",6,3,"away win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
