"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2014030135","5","away",FALSE,"OT","Mike Johnston",1,38,28,6,3,0,52.9,10,4
"2014030135","3","home",TRUE,"OT","Alain Vigneault",2,36,36,6,3,1,47.1,19,13
"2014020255","3","away",FALSE,"SO","Alain Vigneault",2,31,31,8,4,1,42.4,4,3
"2014020255","5","home",TRUE,"SO","Mike Johnston",2,38,44,12,2,0,57.6,13,6
"2014021116","3","away",FALSE,"REG","Alain Vigneault",2,32,36,24,0,0,40,10,1
"2014021116","6","home",TRUE,"REG","Claude Julien",4,30,33,7,1,0,60,7,7
"2012030313","5","away",FALSE,"OT","Dan Bylsma",1,54,46,16,6,0,57.3,8,10
"2012030313","6","home",TRUE,"OT","Claude Julien",2,40,34,18,5,0,42.7,10,13
"2012020418","6","away",FALSE,"REG","Claude Julien",1,32,26,2,2,0,53.1,1,1
"2012020418","5","home",TRUE,"REG","Dan Bylsma",2,18,30,4,1,0,46.9,3,8
"2014020312","5","away",TRUE,"OT","Mike Johnston",3,33,31,6,3,1,50.9,8,3
"2014020312","6","home",FALSE,"OT","Claude Julien",2,29,31,8,2,0,49.1,10,5
"2012030223","6","away",TRUE,"REG","Claude Julien",2,34,28,6,0,0,61.8,10,7
"2012030223","3","home",FALSE,"REG","John Tortorella",1,24,37,2,2,0,38.2,7,9
"2012020179","3","away",TRUE,"SO","John Tortorella",3,29,31,8,4,0,42.2,7,6
"2012020179","6","home",FALSE,"SO","Claude Julien",3,40,32,8,4,0,57.8,12,6
"2014030133","3","away",TRUE,"REG","Alain Vigneault",2,26,37,8,2,0,45.9,3,3
"2014030133","5","home",FALSE,"REG","Mike Johnston",1,24,43,10,2,0,54.1,8,3
"2012020015","5","away",TRUE,"REG","Dan Bylsma",6,39,21,15,5,2,42.9,5,7
"2012020015","3","home",FALSE,"REG","John Tortorella",3,34,30,17,4,1,57.1,7,5
